T/K,p/kPa,p Cox / kPa,Delta P / kPa,sigma_i / kPa
388.15,0.0156,0.0155,0.0001,0.0002
393.151,0.0219,0.022,-0.0001,0.0002
398.151,0.0307,0.0307,0.0,0.0002
403.15,0.0423,0.0423,0.0,0.0002
408.15,0.0583,0.0578,0.0005,0.0002
413.15,0.0787,0.0783,0.0004,0.0002
423.15,0.1399,0.1393,0.0006,0.0002
443.15,0.3979,0.3977,0.0002,0.0002
453.15,0.6419,0.6418,0.0001,0.0003
463.15,1.0077,1.0073,0.0004,0.0004
473.15,1.5396,1.5411,-0.0015,0.0004
483.15,2.3003,2.3026,-0.0023,0.0005
488.15,2.789,2.7912,-0.0022,0.0006
523.945,9.596,9.595,0.001,0.0005
528.046,10.897,10.896,0.001,0.0006
532.163,12.348,12.347,0.001,0.0008
536.294,13.961,13.96,0.001,0.0008
540.441,15.752,15.752,0.0,0.0008
544.604,17.737,17.737,0.0,0.0009
548.778,19.933,19.931,0.002,0.0011
557.182,25.023,25.027,-0.004,0.0014
565.631,31.177,31.181,-0.004,0.0016
574.135,38.565,38.569,-0.004,0.0019
582.69,47.375,47.376,-0.001,0.0022
591.296,57.817,57.809,0.008,0.0026
599.911,70.12,70.032,0.088,0.0032
608.566,84.533,84.317,0.216,0.0037
617.203,101.325,100.806,0.519,0.0042
625.992,120.79,120.13,0.66,0.005
