T/K,p/kPa,p Cox / kPa,Delta P / kPa,sigma_i / kPa
268.148,0.017,0.0169,0.0001,0.0002
273.148,0.0264,0.0263,0.0001,0.0002
283.144,0.0599,0.0599,0.0,0.0002
293.149,0.1276,0.1277,-0.0001,0.0002
303.151,0.2561,0.256,0.0001,0.0002
308.149,0.355,0.3551,-0.0001,0.0002
313.15,0.4863,0.4862,0.0001,0.0002
318.149,0.6578,0.6577,0.0001,0.0003
323.15,0.8799,0.8797,0.0002,0.0003
333.156,1.5238,1.5237,0.0001,0.0004
343.152,2.5361,2.5356,0.0005,0.0006
348.151,3.2271,3.2269,0.0002,0.0007
373.236,9.596,9.594,0.001,0.0006
376.467,10.897,10.896,0.001,0.0007
379.711,12.348,12.347,0.001,0.0008
382.97,13.961,13.962,-0.001,0.0008
386.24,15.752,15.753,-0.001,0.0008
389.523,17.737,17.738,-0.001,0.001
392.82,19.933,19.934,-0.001,0.0011
399.449,25.023,25.022,0.001,0.0014
406.133,31.177,31.178,-0.001,0.0016
412.866,38.565,38.566,-0.001,0.002
419.652,47.375,47.378,-0.003,0.0024
426.489,57.817,57.821,-0.003,0.0028
433.377,70.12,70.124,-0.003,0.0033
440.317,84.533,84.535,-0.002,0.0038
447.307,101.325,101.324,0.001,0.0044
454.349,120.79,120.79,0.0,0.005
461.441,143.25,143.24,0.01,0.006
468.58,169.02,169.01,0.01,0.007
475.772,198.49,198.48,0.01,0.008
483.009,232.02,232.02,0.0,0.009
490.292,270.02,270.04,-0.02,0.01
